ContContracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Classification,Term Contract,OJEU,Awarded,Has ext option,Contract variation,Electronics watch,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
7011,Clapham & Chiswick LED upgrade,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Energy,No,No,Yes,No,,,Works,Expenditure,"£ 88,515","£ 88,515",£ 0,3,No,No,,LCP,03/10/2022,02/01/2023,,, Lindfield Electrical  (vendor no: N/A)
7065,DEPTFORD WINDOWS REFURBISHMENT,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Income,"£ 185,000","£ 185,000",£ 0,12,No,No,,,03/10/2022,02/10/2023,,, Mitre construction  (vendor no: N/A)
7051,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 55,000","£ 55,000",£ 0,6,No,No,,,03/10/2022,02/04/2023,,, Lindfield Electrical  (vendor no: N/A)
7052,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Supplies,No,No,Yes,No,,,Works,Expenditure,"£ 42,721","£ 42,721",£ 0,6,No,No,,,03/10/2022,02/04/2023,,, Lindfield Electrical  (vendor no: N/A)
7053,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 96,799","£ 96,799",£ 0,6,No,No,,,03/10/2022,02/04/2023,,, Lindfield Electrical  (vendor no: N/A)
7055,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 107,133","£ 107,133",£ 0,6,No,No,,,03/10/2022,02/04/2023,,, Lindfield Electrical  (vendor no: N/A)
7056,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 39,724","£ 40,000",(£ 276),6,No,No,,,03/10/2022,02/04/2023,,, Lindfield Electrical  (vendor no: N/A)
7057,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 108,611","£ 108,611",£ 0,6,No,No,,,03/10/2022,02/04/2023,,, Lindfield Electrical  (vendor no: N/A)
7059,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 77,716","£ 77,716",£ 0,6,No,No,,,03/10/2022,02/04/2023,,, Lindfield Electrical  (vendor no: N/A)
6892,Waste Collection,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Building Operations,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 836,121","£ 1,000,000","(£ 163,879)",36,No,No,,LPP Waste Services ,03/10/2022,30/09/2025,,, Bywaters (Leyton) limited (vendor no: 17159)
6926,Estates Management contract,Directorate of Corporate Services,Property and TSS,Property Strategy,Construction and FM / Consultancy,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 925,000","£ 500,000","£ 425,000",36,No,No,Delegated Authority,Crown Commercial Service estates management,01/10/2022,30/09/2027,,, sanderson weatherall (vendor no: 22402)
6759,SINGINGNATION FOR LONDON FIRE BRIGADE CHOIR,Commissioner,Commissioner,Corporate Management Secretariat,Professional Services  / Community Entertainment Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 18,000","£ 18,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,30/09/2022,29/09/2025,,,
7119,PRgloo,Commissioner,Communications,Internal Communications,Professional Services  / Communication Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 2,250","£ 2,250",£ 0,6,No,No,Budget Holder Approval,,28/09/2022,27/03/2023,,, PRgloo Limited (vendor no: N/A)
6908,NLA Licence,Commissioner,Communications,Internal Communications,Professional Services  / Communication Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 50,000","£ 30,000","£ 20,000",36,No,No,Head of Procurement approval for single tender action,,27/09/2022,26/09/2025,,, NLA Media Access Limited (vendor no: 12134)
7099,BA (Hons) in Childhood and Youth Studies.,People Directorate,Training and Professional Development,Training Commissioning & Design,Professional Services  / Learning,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 9,684","£ 9,684",£ 0,36,No,No,Budget Holder Approval,,15/09/2022,14/09/2025,,, The Open University (vendor no: 6113)
6836,"Tooting fire station, Privacy for All works to first floor dorms ",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 100,088","£ 130,000","(£ 29,912)",2,No,No,Budget Holder Approval,,12/09/2022,14/10/2022,,, B Nokes Contracts (vendor no: 19094)
7093,Provision of Open University study modules,People Directorate,People Services,Training Commissioning & Design,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 7,500","£ 7,500",£ 0,24,No,No,Budget Holder Approval,,08/09/2022,07/09/2024,,, Open University (vendor no: 6113)
7161,Incentives for the Newham Safety Centre,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,CS Policy and Projects,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 12,000","£ 12,000",£ 0,0,No,No,,,01/09/2022,31/08/2022,,, Brand Alchemists (vendor no: N/A)
7004,Crossrail Interim communications system video ,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,Incident Command Policy,Professional Services  / Communication Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,0,No,No,Head of Procurement approval for single tender action,,31/08/2022,30/08/2022,,,
6835,"Willesden fire station, Privacy for All works to ground floor dorms ",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 167,090","£ 130,000","£ 37,090",4,No,No,Budget Holder Approval,,29/08/2022,25/11/2022,,, B Nokes Contracts (vendor no: 19094)
7037,Contaminants Launch,"Directorate for Prevention, Protection and Operational Policy",Operational Policy,Management & Admin Policy Team,Professional Services  / Communication Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,2,No,No,Budget Holder Approval,,16/08/2022,15/10/2022,,, Will Baxter Ltd (vendor no: N/A)
6994,Firewalls for CAMS,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 45,925","£ 120,000","(£ 74,075)",24,No,No,Budget Holder Approval,,28/07/2022,27/07/2024,,, ISN (vendor no: 18395)
6942,Estates Professional Services for Telecommunications,Directorate of Corporate Services,Property and TSS,Property Strategy,Construction and FM / Building Operations,Yes,No,Yes,No,,No,Goods/Service,Expenditure,"£ 145,000","£ 145,000",£ 0,24,No,No,Budget Holder Approval,,01/07/2022,30/06/2024,,, Telemaster Limited (vendor no: N/A)
7009,Fire Dog Training and CPD,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Business Support,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 22,000","£ 22,000",£ 0,36,No,No,Delegated Authority,,01/07/2022,30/06/2025,,,
7034,Heli-Tely Move,Directorate of Corporate Services,Information and Communications Technology ,Technical Projects,ICT / Services,No,No,Yes,No,,,Works,Expenditure,"£ 12,538","£ 15,000","(£ 2,462)",12,No,No,Budget Holder Approval,,01/07/2022,30/06/2023,,, Computacenter (UK) Ltd (vendor no: N/A)
6961,Insurance Brokerage,Directorate of Corporate Services,Finance,Accountancy & Treasury,Professional Services  / Financial,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 12,600","£ 17,500","(£ 4,900)",24,No,No,Delegated Authority,,01/07/2022,30/06/2024,,, AJ Gallagher (vendor no: 13070)
7066,Maintenance of the London Situational Awareness System (LSAS) including hosting the servers,Directorate for Preparedness and Response,Operational Resilience and Control,London Resilience Group,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 33,600","£ 33,600",£ 0,12,Yes,No,Head of Procurement approval for single tender action,,01/07/2022,30/06/2023,01/07/2023,31/12/2023, GB3 Limited (vendor no: N/A)
6829,Non Emergency Telephony System,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Communication,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 620,269","£ 1,347,000","(£ 726,731)",60,No,No,,CCS Network Services 2,01/07/2022,30/06/2027,,, Atos IT Services UK Limited (vendor no: 11884)
6987,Replacement of RPE,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,Respiratory Protective Equipment Project,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 7,000,000","£ 7,000,000",£ 0,120,No,No,Committee Decision,,01/07/2022,30/06/2032,,, MSA (vendor no: 4502)
7023,Water Supply Contract,Directorate of Corporate Services,Property and TSS,Property Technical Assurance,Construction and FM / Building Operations,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 652,000","£ 652,000",£ 0,27,No,No,Committee Decision,YPO Water Framework 1008,01/07/2022,30/09/2024,,, Anglian Water Business (National) Limited Trading as Wave (vendor no: N/A)
6888,Executive Search - Director of Communications ,Commissioner,People Directorate,Recruitment & Resourcing,Professional Services  / Contingent Labour,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 30,000","£ 130,000","(£ 100,000)",6,No,No,Delegated Authority,,15/06/2022,14/12/2022,,, Berwick Partners (an Odgers Berndtson company) (vendor no: N/A)
6869,"Replacement of External Windows and Doors at Stanmore, Southgate, Ruislip and Northolt Fire Stations",Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 585,077","£ 585,077",£ 0,6,No,No,,,01/06/2022,30/11/2022,,, H &V Building  (vendor no: N/A)
7036,Supply of Stationery,Directorate of Corporate Services,Procurement and Commercial,Procurement Management,Office Solutions / Office Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,36,No,No,Delegated Authority,,01/06/2022,31/05/2025,,, Banner Group Limited (vendor no: 4755)
6881,At Hoc Alert System,Directorate for Preparedness and Response,Operational Resilience and Control,Executive Business and Governance Team,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 57,400","£ 45,000","£ 12,400",24,No,No,Budget Holder Approval,G-Cloud 12,30/05/2022,29/05/2024,,, BlackBerry Limited (vendor no: 22380)
6897,Network security licencing & support renewal,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 100,000","£ 500,000","(£ 400,000)",36,No,No,Delegated Authority,Technology Services 3 Framework Agreement ,28/05/2022,27/05/2025,,, Specialist Computer Centre (vendor no: 11543)
7189,CRMP consultation analysis,Commissioner,Communications,AGENCY STAFF (for admin only),Professional Services  / Communication Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 19,250","£ 20,000",(£ 750),4,No,No,,,23/05/2022,31/08/2022,,, TONIC CONSULTANTS LTD (vendor no: 20670)
6997,SharePoint Platform Support,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 145,902","£ 145,902",£ 0,18,No,No,Budget Holder Approval,G-Cloud 12,19/05/2022,18/11/2023,,, Silversands (vendor no: 17641)
6993,Zero Emission Fleet Strategy,Directorate of Corporate Services,Property and TSS,FLEET,Fleet  / Fleet Management,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,3,No,No,,,18/05/2022,26/08/2022,,, Egnida (vendor no: N/A)
7046,Multi-Agency Gold Incident Command (MAGIC) training,Directorate for Preparedness and Response,Operational Resilience and Control,London Resilience Group,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 77,553","£ 77,553",£ 0,11,No,No,Budget Holder Approval,,01/05/2022,31/03/2023,,, College of Policing (vendor no: N/A)
6986,CIPR Corporate affiliate scheme,Commissioner,Communications,Internal Communications,Professional Services  / Subscriptions and Admissions,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 2,364","£ 2,364",£ 0,12,No,No,Budget Holder Approval,,18/04/2022,17/04/2023,,, Chartered Institute of Public Relations (vendor no: N/A)
6982,Mobile Telephony,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Communication,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 403,992","£ 423,513","(£ 19,521)",12,No,No,Budget Holder Approval,"CCS Network Services 2, RM3808 ",14/04/2022,13/04/2024,,, Vodafone Limited (vendor no: 5090)
6937,LED Energy efficient lighting project,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Energy,No,No,Yes,No,,,Works,Expenditure,"£ 141,411","£ 142,000",(£ 589),2,No,No,Delegated Authority,,04/04/2022,03/06/2022,,, Merlin Electricals Services Ltd (vendor no: 19875)
6978,Forcepoint Proxy Server Renewal,Commissioner,Directorate of Corporate Services,Security,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 18,960","£ 19,000",(£ 40),12,No,No,Budget Holder Approval,NOECPC,18/03/2022,17/03/2023,,, MTI Technology Ltd (vendor no: 19820)
6958,SPECIAL CONSULTANT SECURITY,Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Consultancy,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 142,000","£ 142,000",£ 0,30,No,No,,YPO managed service provider ,01/03/2022,31/08/2024,,, Reed Talent Solutions t/a Consultancy+ (vendor no: 22336)
6709,The provision and supply of smoke alarms and related products,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,"People Strat, Work Plan & Data",Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 1,500,000","£ 1,500,000",£ 0,36,No,No,,,01/03/2022,28/02/2025,,,
6977,Software Asset Management ,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,No,No,Yes,No,,No,Goods/Service,Expenditure,"£ 34,500","£ 34,500",£ 0,12,No,No,Budget Holder Approval,,23/02/2022,22/02/2023,,, Phoenix Software Ltd (vendor no: 10026)
6472,Incident Command Support Software,"Directorate for Prevention, Protection and Operational Policy",Operational Policy,Incident Command Policy,ICT / Software,Yes,Yes,Yes,No,,Yes,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,120,No,No,Committee Decision,,07/02/2022,06/02/2032,,, Unblur SL. (vendor no: 22324)
6844,Review and redesign the Firefighter recruitment and selection process,People Directorate,People Services,Organisational Effectiveness,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 45,000","£ 45,000",£ 0,6,No,No,Budget Holder Approval,,01/02/2022,03/01/2023,,, PSI Talent Measurement (UK) Ltd (vendor no: 22331)
6737,Appliance Bay Door Replacement Project at Dowgate and Erith Fire Stations ,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 240,000","£ 240,000",£ 0,16,No,No,Committee Decision,,31/01/2022,30/05/2023,,, H & V Building Services Limited  (vendor no: N/A)
6872,LFB IQ Vision BMS project ,Directorate of Corporate Services,Property and TSS,Property Major Projects,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 129,899","£ 120,000","£ 9,899",65,No,No,Delegated Authority,,20/12/2021,19/05/2027,,, Pillinger Controls Ltd (vendor no: N/A)
6871,Network Cabling,Directorate of Corporate Services,Information and Communications Technology ,Technical Projects,ICT / Hardware,Yes,No,Yes,No,,,Works,Expenditure,"£ 149,000","£ 149,000",£ 0,24,No,No,Budget Holder Approval,,10/12/2021,09/12/2023,,, BSCL Limited (vendor no: 22302)
6826,Security Panel,Directorate of Corporate Services,Information and Communications Technology ,,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 135,000","£ 135,000",£ 0,36,No,No,Delegated Authority,,22/11/2021,21/11/2024,,," Actica Consulting Ltd (vendor no: 18817), MTI Technology Ltd (vendor no: 19820), Hytec (vendor no: 22295), Intertek NTA (vendor no: 22293)"
6879,Hard Services Consultant,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 136,800","£ 140,000","(£ 3,200)",18,No,No,Delegated Authority,,18/11/2021,19/05/2023,,, Global Real Estate Ltd (vendor no: 21307)
6834,"Tooting fire station, Refurbishment of ground floor toilets & showers",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 117,613","£ 124,000","(£ 6,387)",3,No,No,Budget Holder Approval,,08/11/2021,17/12/2021,,, HA Marks (vendor no: 21876)
6772,Replacement of Audio Visual Equipment at Stations,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 872,944","£ 735,000","£ 137,944",36,No,No,Committee Decision,,27/10/2021,31/10/2024,,, Specialist Computer Centre (vendor no: 11543)
6782,Replacement Human Resources (HR) and Payroll solution,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,No,Yes,No,Goods/Service,Expenditure,"£ 950,000","£ 950,000",£ 0,60,No,No,,Health Trust Europe (HTE) ICT Solutions 2019,29/09/2021,28/06/2027,,, Insight Direct (UK) Ltd (vendor no: 14363)
6802,E-Disclosure Services – Grenfell Tower Inquiry,Directorate of Corporate Services,General Counsel,Grenfell Legal Team,Professional Services  / Legal,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 720,000","£ 720,000",£ 0,24,No,No,Delegated Authority,NHS Framework,11/09/2021,10/09/2023,,,
6805,Culture Review,Commissioner,People Directorate,Organisational Effectiveness,Professional Services  / Consultancy,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 150,000","£ 150,000",£ 0,12,No,No,Budget Holder Approval,,09/09/2021,08/09/2022,,, Gatenby Sanderson (vendor no: N/A)
6736,Finchley Fire Station - Window Replacement Project ,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 220,000","£ 220,000",£ 0,15,No,No,Committee Decision,Crown Commercial Service (CCS),31/08/2021,29/11/2022,,, conamar (vendor no: N/A)
6971,Sidcup Kitchen,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 90,180","£ 90,180",£ 0,2,No,No,,,31/08/2021,30/10/2021,,, Axis Europe plc  (vendor no: N/A)
6320,Temporary Labour ,People Directorate,People Services,Employee Advice & Insights,Professional Services  / Contingent Labour,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 10,500,000","£ 10,500,000",£ 0,36,No,No,,Pan GLA Collaboration Temporary Labour,29/08/2021,28/08/2024,,, Reed Specialist Recruitment Ltd (vendor no: N/A)
6801,End User Hardware,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 900,000","£ 900,000",£ 0,36,No,No,Committee Decision,NHS London Procurement Partnership (LPP) Information Management & Technology (IM&T),12/08/2021,11/08/2024,,, Specialist Computer Centre (SCC) (vendor no: 11543)
6584,Photography Services,Commissioner,Communications,External Communications,Professional Services  / Marketing,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,No,No,Budget Holder Approval,,10/08/2021,09/08/2024,,,
6629,Safety event reporting e -solution,People Directorate,Health and Safety,Health & Safety,ICT / Software,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 312,762","£ 300,000","£ 12,762",60,No,No,Delegated Authority,,05/08/2021,04/08/2026,,, Sphera Solutions UK Ltd   (vendor no: N/A)
6819,HDIM Operator Induction Course (5 day),Directorate for Preparedness and Response,Operational Resilience and Control,Leavers,Professional Services  / Learning and Development Materials,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 16,980","£ 16,980",£ 0,6,No,No,Budget Holder Approval,,02/08/2021,02/02/2022,,,
6848,Chemdata renewal,Directorate of Corporate Services,Information and Communications Technology ,Technical Projects,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 144,870","£ 144,870",£ 0,36,No,No,Budget Holder Approval,,01/07/2021,30/06/2024,,, Ricardo-AEA (vendor no: 19853)
6710,The supply and maintenance of digital production printers,Commissioner,Communications,External Communications,Office Solutions / Printing Machinery and Equipment,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 130,000","£ 148,000","(£ 18,000)",36,No,No,Budget Holder Approval,"Crown Commercial Service Framework for Multifunctional Devices, Managed Print and Content Services RM3781",28/06/2021,28/06/2024,,, Konica Minolta (vendor no: 20453)
6672,Online Shop,Commissioner,Communications,External Communications,Professional Services  / Marketing,Yes,No,Yes,No,,,Goods/Service,Income,"£ 60,000","£ 60,000",£ 0,36,No,No,Delegated Authority,,07/06/2021,06/06/2024,,, Heritage Digital Limited (vendor no: NA)
6807,Postage Meter Charges,Directorate of Corporate Services,Information and Communications Technology ,Document Management,Office Solutions / Post,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 108,000","£ 108,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,01/06/2021,01/06/2024,,, Pitney Bowes Ltd (vendor no: 8940)
6748,Renewal of postal franking machine,Directorate of Corporate Services,Information and Communications Technology ,Document Management,Office Solutions / Post,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 18,489","£ 18,440",£ 49,60,No,No,Head of Procurement approval for single tender action,,01/06/2021,31/05/2026,,, Pitney Bowes Ltd (vendor no: 8940)
6812,Vehicle Glass Replacement & Repair,Directorate of Corporate Services,Procurement and Commercial,Vehicle Administration,Fleet  / Fleet Management,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 27,000","£ 27,000",£ 0,48,No,No,Budget Holder Approval,YPO,01/06/2021,01/06/2025,,, National Windscreens (vendor no: N/A)
6803,Executive Search - Interim AD Training,People Directorate,People Services,Employee Lifecycle,Professional Services  / Business and Commercial Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 15,000","£ 15,000",£ 0,6,No,No,Delegated Authority,,04/05/2021,04/11/2021,,, Gatenby Sanderson (vendor no: N/A)
6973,Multisciplinary Services for Kensington & Deptford Windows Refurbishment Projects,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Property Occupation,Yes,No,Yes,No,,,Works,Expenditure,"£ 40,500","£ 40,500",£ 0,24,No,No,Delegated Authority,LFB Framework for Supply of Multidisciplinary Services,03/05/2021,02/05/2023,,, Fulkers Bailey Russel (vendor no: 21129)
6659,"CAFM, Helpdesk and MI Services",Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Property Occupation,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 2,100,000","£ 2,100,000",£ 0,60,No,No,Committee Decision,,01/04/2021,01/04/2026,,, Bellrock Property & Facilities Management Limited  (vendor no: N/A)
6804,Coaching Services,Commissioner,People Directorate,Organisational Effectiveness,Professional Services  / Consultancy,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 90,000","£ 90,000",£ 0,36,No,No,Delegated Authority,GLA Coaching Framework,01/04/2021,31/03/2024,,,
6815,Courier Services,Directorate of Corporate Services,Information and Communications Technology ,Document Management,Office Solutions / Courier,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 40,000","£ 30,000","£ 10,000",36,No,No,Budget Holder Approval,,01/04/2021,01/04/2024,,, CitySprint (vendor no: 5435)
6771,E-Tendering Software,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 1,000","£ 1,000",£ 0,12,Yes,Yes,Budget Holder Approval,,01/04/2021,31/03/2022,01/04/2022,31/03/2024, EU Supply Limited (vendor no: 20392)
6796,Lease Agreement -Car Parking at Gallions Reach Shopping Centre,People Directorate,Training and Professional Development,Training Operations,Construction and FM / Property Occupation,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 43,800","£ 43,800",£ 0,24,No,No,Head of Procurement approval for single tender action,,01/04/2021,31/03/2023,,, gallions Reach shopping Centre  (vendor no: N/A)
6785,Visualfiles Annual Maintenance Agreement,Directorate of Corporate Services,General Counsel,Departmental Management & Business Support,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 17,994","£ 18,000",(£ 6),12,No,No,Head of Procurement approval for single tender action,,01/04/2021,04/04/2023,,, LexisNexis (vendor no: 10367)
6779,Catering contract for HQ,Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Catering,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,60,No,No,Budget Holder Approval,,01/03/2021,01/03/2026,,, Vending  Sense Group (vendor no: N/A)
6697,Passenger Lift Refurbishment Works at London Fire Brigade HQ ,People Directorate,People Services,Property Major Projects,Construction and FM / Engineering Products and Equipment,No,No,Yes,No,,,Works,Expenditure,"£ 626,335","£ 650,000","(£ 23,665)",18,No,No,Committee Decision,,01/03/2021,01/09/2023,,, Apex Lifts Limited (vendor no: N/A)
6766,INFOR Software Maintenance,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 54,569","£ 54,568",£ 1,12,No,No,Budget Holder Approval,,31/01/2021,30/01/2022,,, Infor Limited (vendor no: 1906)
6633,Layflat Hose to BS 6931:2009 Specification for Non-Percolating Layflat Delivery Hoses and Hose Assemblies for Fire Fighting Purposes,Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 500,000","£ 500,000",£ 0,72,No,No,,"YPO Framework 865 ‘Emergency Response and Rescue Equipment’ Lot 11 (Hoses and Hose Testing, Nozzles and Branches’)",08/01/2021,08/01/2027,,, Angus Fire (vendor no: N/A)
6700,Cyber Security and Info Gov eLearning,Directorate of Corporate Services,Information and Communications Technology ,ICT Security Policy,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 38,176","£ 52,216","(£ 14,040)",48,No,No,Delegated Authority,G-Cloud,01/01/2021,01/01/2025,,, Matabo Limited (vendor no: 22134)
6701,Water Coolers,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Building Operations,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 70,000","£ 70,000",£ 0,60,No,No,Delegated Authority,ESPO framework,10/12/2020,10/12/2025,,, Waterlogic GB Limited (vendor no: N/A)
6652,Provision of a Mobile Paging Application,Directorate of Corporate Services,Information and Communications Technology ,Emergency Services Network,ICT / Communication,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 213,200","£ 370,000","(£ 156,800)",36,No,No,Committee Decision,CCS Network Services,09/12/2020,08/12/2023,,, PageOne Communications Limited (vendor no: 21138)
