Geo Point,Geo Shape,Batch_ID,TargetStartDate,TargetDeliveryDate,OperationalArea,DNO,Status,days_outstanding,rag_status,PVC Date,days_since_pvc_date
"51.51877019532262, -0.1625815475698588","{""coordinates"": [[[-0.156791100107359, 51.51343369682018], [-0.163992588164268, 51.51354664714632], [-0.163811895372068, 51.51804005678188], [-0.171014138130711, 51.51815258320262], [-0.170834106573474, 51.5226460069233], [-0.163631155746892, 51.52253346249862], [-0.156428251769344, 51.522420476026895], [-0.156609699446429, 51.5179270883847], [-0.156791100107359, 51.51343369682018]]], ""type"": ""Polygon""}",NW-0001,2025-11-17,2026-01-21,North West,LPN,In Progress,-67,More than 7 Days beyond the Target Delivery Date,,
"51.452284698723474, 0.03754152986857248","{""coordinates"": [[[0.027439766695424, 51.44294796555891], [0.027638791594028, 51.447440922780316], [0.027837868003949, 51.4519338759835], [0.02064684141056, 51.452058055002034], [0.020845264292157, 51.45655102404245], [0.028036995942778, 51.456426825168336], [0.028236175428118, 51.46091977033481], [0.035428560753987, 51.460795110661], [0.042620894333489, 51.46067001005439], [0.049813175984414, 51.46054446852234], [0.049611880886787, 51.456051583356555], [0.056803405258346, 51.45592562104752], [0.056601457267216, 51.45143275198868], [0.049410637882114, 51.45155869416066], [0.049209446952608, 51.44706580093473], [0.042019280314476, 51.44719128226672], [0.034829061800941, 51.44731632288439], [0.034629332226831, 51.44282338558113], [0.034429654328423, 51.438330444255826], [0.027240793290551, 51.43845500431933], [0.027439766695424, 51.44294796555891]]], ""type"": ""Polygon""}",SE-0002,2025-11-17,2026-01-21,South East,LPN,Complete,-67,Complete,,
"51.479585114802056, 0.09419951288877719","{""coordinates"": [[[0.08638857941997, 51.473388474213465], [0.086593612376586, 51.47788124177017], [0.079398770892049, 51.47800906954694], [0.079603150934599, 51.482501853495805], [0.079807583906966, 51.4869946333983], [0.087003837590384, 51.48686676473262], [0.094200038143327, 51.48673845476412], [0.101396185383273, 51.48660970350038], [0.101189633893413, 51.48211698514857], [0.108385021501827, 51.48198781325504], [0.115580355450566, 51.481858200152], [0.115372445549093, 51.47736551911973], [0.108177817535595, 51.47749511149857], [0.100983135880755, 51.47762426273836], [0.100776691327026, 51.47313153626983], [0.093582662002682, 51.47326022578362], [0.093376976496747, 51.46876747468157], [0.086183599539355, 51.46889570260657], [0.08638857941997, 51.473388474213465]]], ""type"": ""Polygon""}",SE-0007,2025-11-24,2026-01-29,South East,LPN,Complete,-59,Complete,,
"51.49799994156473, -0.24413417885357971","{""coordinates"": [[[-0.251274360891439, 51.49239941745741], [-0.251102386698161, 51.4968930578237], [-0.258301638632962, 51.497000194282585], [-0.258130327221394, 51.50149384791101], [-0.257958971419647, 51.50598749766547], [-0.250758304622482, 51.50588032692426], [-0.250586196709587, 51.51037395565852], [-0.243384866810381, 51.510266325857486], [-0.243557682413799, 51.50577271434002], [-0.23635710497668, 51.505664659919105], [-0.236530583300696, 51.50117106180496], [-0.229330758294967, 51.50106258290842], [-0.229504898973506, 51.496568998261374], [-0.236704016685481, 51.49667745980668], [-0.236877405146404, 51.49218385392435], [-0.229678994545241, 51.49207540972685], [-0.229853045025596, 51.48758181730488], [-0.237050748698825, 51.48769024415795], [-0.244248497265232, 51.48779822946307], [-0.251446290541993, 51.487905773213804], [-0.251274360891439, 51.49239941745741]]], ""type"": ""Polygon""}",NW-0003,2025-12-01,2026-02-05,North West,LPN,In Progress,-52,More than 7 Days beyond the Target Delivery Date,,
"51.52692516196714, -0.18580024685938026","{""coordinates"": [[[-0.185418763414257, 51.51837631008825], [-0.185240148040737, 51.522869769604895], [-0.185061486367983, 51.52736322521327], [-0.192265284941069, 51.52747446125241], [-0.199469129645935, 51.52758525514727], [-0.199291838638409, 51.53207874237467], [-0.192087285435489, 51.53196793075146], [-0.184882778380144, 51.53185667691332], [-0.177678317655771, 51.53174498086686], [-0.177857734110012, 51.527251547036485], [-0.178037104065842, 51.5227581092943], [-0.178216427539172, 51.51826466764029], [-0.185418763414257, 51.51837631008825]]], ""type"": ""Polygon""}",NW-0006,2025-12-08,2026-02-12,North West,LPN,Complete,-45,Complete,,
"51.5476649122221, 0.024478971513606073","{""coordinates"": [[[0.024425676499246, 51.53742378022933], [0.024625078311983, 51.54191667298343], [0.01741986419263, 51.54204080763539], [0.017618608974473, 51.54653371623656], [0.010412634591602, 51.54665742845636], [0.010610721975767, 51.55115035284171], [0.017817405289756, 51.55102662082587], [0.01801625315613, 51.55551952140325], [0.01821515259125, 51.56001241796861], [0.025423202731565, 51.55988820384211], [0.025223594015949, 51.555395327151224], [0.025024037052626, 51.55090244644443], [0.032230617080894, 51.55077782970474], [0.032030402956388, 51.54628496491949], [0.0392362221886, 51.546159925836974], [0.039035351269787, 51.54166707703612], [0.031830240732151, 51.54179209611454], [0.031630130390419, 51.53729922328998], [0.024425676499246, 51.53742378022933]]], ""type"": ""Polygon""}",NE-0030,2025-12-15,2026-02-19,North East,LPN,Complete,-38,Complete,,
"51.547333463116566, -0.11143193500111989","{""coordinates"": [[[-0.105263153432727, 51.539590191071895], [-0.112468557920993, 51.5397063459951], [-0.112282621450066, 51.54419960398701], [-0.119488783006868, 51.54431533514457], [-0.119303507376482, 51.548808607712424], [-0.119118183699161, 51.553301876339745], [-0.111910603849727, 51.55318610813852], [-0.104703072247348, 51.5530698974432], [-0.104889814384351, 51.54857666593387], [-0.105076508107285, 51.544083430476746], [-0.105263153432727, 51.539590191071895]]], ""type"": ""Polygon""}",NW-0011,2025-12-22,2026-02-26,North West,LPN,In Progress,-31,More than 7 Days beyond the Target Delivery Date,,
"51.534422422142626, -0.27209259448930034","{""coordinates"": [[[-0.292955146246729, 51.5334790489555], [-0.292787023543471, 51.53797275636306], [-0.285581178233347, 51.53786767731115], [-0.285412302871201, 51.54236136404505], [-0.27820579228907, 51.542255825736994], [-0.270999325683288, 51.54214984499525], [-0.263792903237465, 51.542043421826136], [-0.256586525135202, 51.54193655623598], [-0.249380191560096, 51.541829248231124], [-0.249552612019776, 51.53733564663878], [-0.249724987784051, 51.53284204116896], [-0.256929903564397, 51.53294931483772], [-0.25710152602641, 51.528455688327476], [-0.264305777666046, 51.52856250263063], [-0.271510073603716, 51.528668874724815], [-0.271680234661199, 51.52417521023322], [-0.278883866229253, 51.524281123164485], [-0.286087541713472, 51.52438659394483], [-0.285918797639499, 51.528880292261036], [-0.293123225370763, 51.52898533769049], [-0.292955146246729, 51.5334790489555]]], ""type"": ""Polygon""}",NW-0013,2025-12-29,2026-03-03,North West,LPN,In Progress,-26,More than 7 Days beyond the Target Delivery Date,,
"51.59540105175458, 0.008473747236237207","{""coordinates"": [[[0.004787070479628, 51.58272413913875], [0.004984858879283, 51.58721705121426], [0.005182698603535, 51.59170995928514], [-0.002030476223613, 51.59183298361342], [-0.009243702208915, 51.5919555649174], [-0.009047232768255, 51.59644850829929], [-0.00885071233607, 51.60094144768413], [-0.008654140894871, 51.605434383071874], [-0.001438781892082, 51.605311742888894], [-0.001636064523295, 51.60081882713136], [0.00557853209623, 51.60069576341263], [0.012793077338308, 51.60057225653529], [0.012991782296804, 51.60506513281995], [0.020206987114387, 51.60494116294867], [0.027422140168403, 51.60481674986269], [0.027222012953371, 51.600323913334265], [0.027021937668301, 51.595831072789316], [0.019808206668898, 51.59595544605213], [0.019608894047095, 51.59146258158501], [0.01239582208846, 51.59158649193989], [0.012197271761758, 51.58709360362924], [0.011998772943652, 51.58260071131005], [0.011800325616491, 51.57810781498239], [0.004589333386977, 51.578231223058616], [0.004787070479628, 51.58272413913875]]], ""type"": ""Polygon""}",NE-0032,2026-01-05,2026-03-09,North East,LPN,In Progress,-20,More than 7 Days beyond the Target Delivery Date,,
"51.550546590205805, -0.042303962867858896","{""coordinates"": [[[-0.047429359088293, 51.54313811853182], [-0.047236993663252, 51.54763120271855], [-0.054443423592128, 51.54775093395568], [-0.054251717371939, 51.552244033324904], [-0.047044578355914, 51.55212428292783], [-0.046852113149192, 51.5566173591596], [-0.039644314778962, 51.55649714709722], [-0.032436566508859, 51.55637649254036], [-0.03263045020566, 51.55188345484804], [-0.032824283635975, 51.54739041317068], [-0.040030613616704, 51.54751102912116], [-0.040223687928315, 51.54301796416127], [-0.047429359088293, 51.54313811853182]]], ""type"": ""Polygon""}",NE-0034,2026-01-05,2026-03-09,North East,LPN,Complete,-20,Complete,,
